Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:58:32
Elapsed Time,00:03:04:999
Samples,56744

--Statistics--
Minimum [W],2.0151E-05
Maximum [W],4.1483E-05
Mean [W],2.9541E-05
Standard Deviation [W],5.3729E-06
Ratio,2.059 : 1

--Graph Data--
Time (ms),Power (W)
5.430,2.019E-05
8.412,2.0217E-05
11.398,2.0253E-05
14.424,2.02E-05
17.761,2.0205E-05
20.806,2.0252E-05
24.116,2.021E-05
27.076,2.019E-05
30.113,2.0244E-05
33.382,2.022E-05
36.402,2.0183E-05
39.402,2.0227E-05
42.865,2.0232E-05
46.074,2.018E-05
49.323,2.0232E-05
52.417,2.0229E-05
55.417,2.0179E-05
58.413,2.021E-05
61.397,2.0243E-05
65.411,2.0183E-05
68.422,2.0212E-05
71.414,2.0249E-05
74.381,2.0201E-05
77.386,2.0192E-05
80.353,2.0252E-05
83.383,2.0226E-05
86.388,2.0191E-05
89.377,2.0239E-05
92.379,2.0248E-05
95.384,2.0195E-05
98.380,2.0222E-05
101.380,2.0258E-05
104.384,2.0208E-05
107.380,2.0202E-05
110.385,2.0254E-05
113.356,2.0228E-05
116.375,2.0191E-05
119.378,2.0237E-05
122.384,2.0245E-05
125.390,2.0189E-05
128.357,2.0213E-05
131.383,2.0249E-05
134.388,2.0205E-05
137.385,2.0195E-05
140.383,2.0245E-05
143.426,2.0217E-05
146.357,2.0179E-05
149.379,2.0226E-05
152.382,2.0229E-05
155.381,2.0176E-05
158.371,2.0201E-05
161.373,2.0242E-05
164.701,2.0183E-05
167.727,2.0186E-05
170.721,2.0236E-05
173.731,2.0201E-05
176.693,2.017E-05
179.757,2.0221E-05
183.038,2.0213E-05
186.052,2.0174E-05
189.048,2.0215E-05
192.014,2.0229E-05
195.047,2.0176E-05
198.053,2.0194E-05
201.046,2.0242E-05
204.041,2.0199E-05
207.014,2.0185E-05
210.047,2.0239E-05
213.061,2.0223E-05
216.347,2.0186E-05
219.364,2.0233E-05
222.373,2.0243E-05
225.360,2.0189E-05
228.328,2.0221E-05
231.422,2.0254E-05
234.357,2.0207E-05
237.349,2.0207E-05
240.339,2.0258E-05
243.361,2.0231E-05
246.381,2.0194E-05
249.371,2.0242E-05
252.345,2.025E-05
255.360,2.0195E-05
258.348,2.0224E-05
261.350,2.0258E-05
265.024,2.0197E-05
268.015,2.0216E-05
271.012,2.026E-05
274.009,2.0216E-05
277.018,2.0197E-05
280.016,2.0252E-05
283.021,2.0232E-05
286.030,2.0186E-05
289.021,2.0229E-05
291.991,2.0244E-05
294.981,2.019E-05
297.997,2.0207E-05
301.015,2.0248E-05
304.015,2.0206E-05
306.984,2.0187E-05
310.021,2.0243E-05
313.014,2.0224E-05
316.019,2.0181E-05
318.983,2.0224E-05
321.984,2.0239E-05
325.015,2.0185E-05
328.008,2.0207E-05
331.655,2.0243E-05
345.517,2.0187E-05
361.874,2.0229E-05
365.318,2.0183E-05
368.396,2.0212E-05
371.656,2.0244E-05
374.640,2.019E-05
377.669,2.0197E-05
380.667,2.0245E-05
383.639,2.0211E-05
386.695,2.0186E-05
389.701,2.0233E-05
392.698,2.0228E-05
395.687,2.018E-05
398.692,2.022E-05
402.009,2.024E-05
405.363,2.0185E-05
408.749,2.0221E-05
412.042,2.0244E-05
415.365,2.0186E-05
418.711,2.0222E-05
421.724,2.0247E-05
425.049,2.0191E-05
428.280,2.0217E-05
431.335,2.025E-05
434.309,2.0202E-05
437.334,2.0199E-05
440.330,2.0255E-05
