Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:11:47
Elapsed Time,00:03:04:999
Samples,58005

--Statistics--
Minimum [W/cm²],1.9244E-05
Maximum [W/cm²],0.0079013
Mean [W/cm²],0.00369
Standard Deviation [W/cm²],0.0038231
Ratio,410.585 : 1

--Graph Data--
Time (ms),Power (W)
5.333,0.0077255
8.324,0.007723
11.343,0.007723
14.317,0.0077206
17.316,0.007723
20.335,0.0077255
23.318,0.0077243
26.312,0.0077243
29.373,0.007723
32.314,0.0077181
35.315,0.007723
38.334,0.007723
41.414,0.0077193
44.645,0.007723
47.660,0.0077206
50.646,0.007723
53.646,0.0077193
56.677,0.0077206
59.646,0.0077193
62.648,0.0077193
65.646,0.0077181
68.646,0.0077181
71.671,0.0077168
74.646,0.0077193
77.646,0.0077206
80.707,0.0077193
83.967,0.007723
86.968,0.0077218
89.966,0.0077218
92.967,0.0077193
95.972,0.0077168
98.966,0.0077218
101.970,0.0077193
104.989,0.0077193
107.968,0.0077181
110.966,0.0077181
113.971,0.0077168
116.967,0.0077144
119.996,0.0077168
122.967,0.0077168
125.969,0.0077181
128.996,0.0077156
131.966,0.0077156
134.968,0.0077181
137.948,0.0077156
140.947,0.0077131
143.973,0.0077181
147.060,0.0077144
150.348,0.0077119
153.281,0.0077168
156.282,0.0077168
159.283,0.0077181
162.282,0.0077156
165.282,0.0077119
168.290,0.0077168
171.281,0.0077168
174.282,0.0077193
177.283,0.0077218
180.282,0.0077156
183.283,0.0077181
186.281,0.0077168
189.283,0.0077144
192.286,0.0077168
195.280,0.0077144
198.285,0.0077156
201.620,0.0077168
204.620,0.0077193
207.622,0.0077206
210.620,0.0077193
213.619,0.0077206
216.636,0.0077193
219.620,0.0077193
222.619,0.0077218
225.620,0.0077206
228.622,0.0077255
231.619,0.007723
234.625,0.007723
237.623,0.0077255
240.631,0.007723
243.625,0.0077255
246.626,0.0077267
249.625,0.0077218
252.625,0.0077218
255.656,0.0077218
258.706,0.0077206
261.624,0.007723
264.691,0.0077206
267.945,0.0077193
270.946,0.0077144
273.946,0.0077168
276.946,0.0077156
279.954,0.0077168
282.947,0.0077156
285.945,0.0077181
288.947,0.0077193
291.945,0.0077193
294.945,0.0077206
297.950,0.007723
300.946,0.007723
303.960,0.0077218
306.945,0.0077168
309.948,0.0077218
312.949,0.0077206
315.945,0.0077218
318.946,0.0077181
321.964,0.0077168
324.945,0.0077193
327.924,0.0077193
330.944,0.0077181
333.945,0.0077168
336.947,0.0077218
339.945,0.0077181
342.945,0.0077168
345.948,0.0077193
348.947,0.0077193
351.926,0.0077168
354.946,0.0077156
357.920,0.0077181
360.948,0.0077131
363.922,0.0077144
366.919,0.0077168
369.945,0.0077156
372.919,0.0077082
375.924,0.0077144
378.944,0.0077168
381.922,0.0077193
384.919,0.0077218
387.919,0.0077168
390.929,0.0077168
393.919,0.0077119
396.919,0.0077156
399.928,0.0077144
402.919,0.0077156
405.919,0.0077156
408.918,0.0077131
411.921,0.0077156
414.918,0.0077144
417.919,0.0077144
420.919,0.0077181
423.927,0.0077131
426.919,0.0077131
429.921,0.0077156
432.919,0.0077168
435.918,0.0077144
438.941,0.0077156
441.895,0.0077144
444.894,0.0077168
447.931,0.0077107
450.924,0.0077094
453.923,0.0077131
456.923,0.0077119
459.917,0.0077119
462.914,0.0077119
465.914,0.0077144
468.914,0.0077144
471.974,0.0077156
474.914,0.0077156
477.917,0.0077156
480.914,0.0077156
483.915,0.0077156
486.922,0.0077131
