v1	V(n004)
2.679999999999987e+000	7.741692e+000
2.689999999999987e+000	7.741860e+000
2.699999999999986e+000	7.742030e+000
2.709999999999986e+000	7.742198e+000
2.719999999999986e+000	7.742368e+000
2.729999999999986e+000	7.742537e+000
2.739999999999986e+000	7.742706e+000
2.749999999999985e+000	7.742876e+000
2.759999999999985e+000	7.743045e+000
2.769999999999985e+000	7.743215e+000
2.779999999999985e+000	7.743384e+000
2.789999999999985e+000	7.743555e+000
2.799999999999984e+000	7.743724e+000
2.809999999999984e+000	7.743895e+000
2.819999999999984e+000	7.744065e+000
2.829999999999984e+000	7.744235e+000
2.839999999999983e+000	7.744405e+000
2.849999999999983e+000	7.744576e+000
2.859999999999983e+000	7.744747e+000
2.869999999999983e+000	7.744917e+000
2.879999999999983e+000	7.745088e+000
2.889999999999982e+000	7.745259e+000
2.899999999999982e+000	7.745430e+000
2.909999999999982e+000	7.745602e+000
2.919999999999982e+000	7.745773e+000
2.929999999999982e+000	7.745944e+000
2.939999999999981e+000	7.746116e+000
2.949999999999981e+000	7.746288e+000
2.959999999999981e+000	7.746459e+000
2.969999999999981e+000	7.746631e+000
2.979999999999980e+000	7.746803e+000
2.989999999999980e+000	7.746975e+000
2.999999999999980e+000	7.747148e+000
3.009999999999980e+000	7.747320e+000
3.019999999999980e+000	7.747493e+000
3.029999999999979e+000	7.747665e+000
3.039999999999979e+000	7.747838e+000
3.049999999999979e+000	7.748011e+000
3.059999999999979e+000	7.748184e+000
3.069999999999979e+000	7.748357e+000
3.079999999999978e+000	7.748530e+000
3.089999999999978e+000	7.748703e+000
3.099999999999978e+000	7.748877e+000
3.109999999999978e+000	7.749051e+000
3.119999999999978e+000	7.749224e+000
3.129999999999977e+000	7.749398e+000
3.139999999999977e+000	7.749572e+000
3.149999999999977e+000	7.749746e+000
3.159999999999977e+000	7.749920e+000
3.169999999999976e+000	7.750095e+000
3.179999999999976e+000	7.750269e+000
3.189999999999976e+000	7.750444e+000
3.199999999999976e+000	7.750618e+000
3.209999999999976e+000	7.750793e+000
3.219999999999975e+000	7.750968e+000
3.229999999999975e+000	7.751143e+000
3.239999999999975e+000	7.751318e+000
3.249999999999975e+000	7.751494e+000
3.259999999999975e+000	7.751669e+000
3.269999999999974e+000	7.751845e+000
3.279999999999974e+000	7.752021e+000
3.289999999999974e+000	7.752197e+000
3.300000000000000e+000	7.752373e+000
