Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:20:50
Elapsed Time,00:03:04:999
Samples,49533

--Statistics--
Minimum [W],1.914E-05
Maximum [W],0.0079149
Mean [W],0.0037164
Standard Deviation [W],0.0038198
Ratio,413.527 : 1

--Graph Data--
Time (ms),Power (W)
5.441,1.9636E-05
8.553,1.9576E-05
11.544,1.9605E-05
14.548,1.9642E-05
17.542,1.9599E-05
20.544,1.9589E-05
23.543,1.9639E-05
26.542,1.9617E-05
29.547,1.9579E-05
32.542,1.9624E-05
35.541,1.9626E-05
38.584,1.9579E-05
41.541,1.9599E-05
44.549,1.9633E-05
47.542,1.9585E-05
50.544,1.9571E-05
53.573,1.962E-05
56.541,1.9599E-05
59.542,1.956E-05
62.541,1.9601E-05
65.545,1.9613E-05
68.544,1.9562E-05
71.550,1.9581E-05
74.551,1.9621E-05
77.562,1.9575E-05
80.550,1.9565E-05
83.551,1.9613E-05
86.618,1.9591E-05
89.891,1.9558E-05
93.285,1.961E-05
96.197,1.9599E-05
99.280,1.9558E-05
102.201,1.959E-05
105.194,1.9613E-05
108.194,1.956E-05
111.194,1.9574E-05
114.195,1.9621E-05
117.193,1.958E-05
120.228,1.9559E-05
123.195,1.9608E-05
126.198,1.9597E-05
129.193,1.9554E-05
132.196,1.9592E-05
135.195,1.9612E-05
138.277,1.956E-05
141.193,1.9574E-05
144.197,1.9615E-05
147.193,1.957E-05
150.201,1.9554E-05
153.207,1.9604E-05
156.216,1.9595E-05
159.193,1.9553E-05
162.195,1.959E-05
165.193,1.9605E-05
168.230,1.9553E-05
171.516,1.9568E-05
174.923,1.9605E-05
178.219,1.9549E-05
181.198,1.9562E-05
184.198,1.9601E-05
187.199,1.9564E-05
190.202,1.9542E-05
193.198,1.9589E-05
196.199,1.9578E-05
199.198,1.9533E-05
202.197,1.9573E-05
205.197,1.9589E-05
208.228,1.9539E-05
211.197,1.9546E-05
214.202,1.9588E-05
217.199,1.9552E-05
220.197,1.953E-05
223.243,1.9578E-05
226.200,1.9567E-05
229.197,1.9521E-05
232.197,1.9553E-05
235.197,1.9575E-05
238.178,1.9523E-05
241.305,1.9528E-05
244.198,1.9569E-05
247.198,1.9533E-05
250.171,1.9511E-05
253.172,1.9562E-05
256.178,1.9552E-05
259.220,1.9501E-05
262.176,1.9543E-05
265.191,1.9565E-05
268.197,1.951E-05
271.164,1.9523E-05
274.162,1.9568E-05
277.162,1.953E-05
280.164,1.9507E-05
283.163,1.9559E-05
286.167,1.9547E-05
289.166,1.9503E-05
292.144,1.9542E-05
295.162,1.9567E-05
298.163,1.9507E-05
301.162,1.952E-05
304.188,1.956E-05
307.167,1.9526E-05
310.168,1.9501E-05
313.163,1.9553E-05
316.164,1.9541E-05
319.168,1.9495E-05
322.158,1.9533E-05
325.149,1.9551E-05
328.146,1.9501E-05
331.460,1.9515E-05
334.522,1.9557E-05
337.522,1.9511E-05
340.549,1.9501E-05
343.541,1.9546E-05
346.512,1.9525E-05
349.520,1.9491E-05
352.520,1.9532E-05
355.530,1.9541E-05
358.520,1.949E-05
361.513,1.9506E-05
364.540,1.9543E-05
367.514,1.95E-05
370.513,1.9488E-05
373.554,1.9541E-05
376.904,1.9511E-05
379.858,1.9477E-05
382.857,1.953E-05
385.855,1.9531E-05
388.859,1.948E-05
391.858,1.951E-05
394.851,1.9542E-05
397.859,1.9496E-05
400.856,1.9493E-05
403.854,1.9541E-05
406.855,1.9515E-05
410.231,1.9482E-05
413.519,1.9541E-05
