Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:26:37
Elapsed Time,00:03:05:000
Samples,61137

--Statistics--
Minimum [W],1.9367E-05
Maximum [W],5.0026E-05
Mean [W],3.8878E-05
Standard Deviation [W],6.4967E-06
Ratio,2.583 : 1

--Graph Data--
Time (ms),Power (W)
5.551,2.0339E-05
8.564,2.0382E-05
11.558,2.0333E-05
14.553,2.0324E-05
17.530,2.0382E-05
20.536,2.0365E-05
23.564,2.0321E-05
26.541,2.0372E-05
29.520,2.0385E-05
32.498,2.0334E-05
35.531,2.0355E-05
38.547,2.0398E-05
41.545,2.035E-05
45.218,2.0351E-05
48.216,2.0396E-05
51.245,2.0356E-05
54.208,2.0337E-05
57.207,2.0386E-05
60.212,2.0372E-05
63.212,2.033E-05
66.164,2.0369E-05
69.186,2.0393E-05
72.182,2.0341E-05
75.219,2.035E-05
78.219,2.0394E-05
81.205,2.0356E-05
84.587,2.0339E-05
87.867,2.0397E-05
91.179,2.036E-05
94.182,2.0337E-05
97.204,2.0387E-05
100.206,2.0374E-05
103.178,2.0329E-05
106.186,2.0367E-05
109.187,2.0392E-05
112.183,2.0338E-05
115.212,2.0348E-05
118.183,2.0396E-05
121.207,2.036E-05
124.192,2.0338E-05
127.521,2.0392E-05
130.540,2.0372E-05
133.530,2.0334E-05
136.547,2.0376E-05
139.531,2.039E-05
142.526,2.0337E-05
145.528,2.0359E-05
148.532,2.0398E-05
151.531,2.0353E-05
154.587,2.0341E-05
157.528,2.0393E-05
160.533,2.037E-05
163.529,2.0337E-05
166.527,2.038E-05
169.528,2.0392E-05
172.532,2.0335E-05
175.531,2.0358E-05
178.538,2.0399E-05
181.876,2.0348E-05
184.853,2.0346E-05
187.888,2.0402E-05
191.188,2.0362E-05
194.196,2.0338E-05
197.193,2.0392E-05
200.189,2.0381E-05
203.200,2.0334E-05
206.156,2.0374E-05
209.176,2.0402E-05
212.185,2.0345E-05
215.178,2.036E-05
218.186,2.0409E-05
221.184,2.0372E-05
224.183,2.0346E-05
227.181,2.0397E-05
230.180,2.0394E-05
233.185,2.0344E-05
236.224,2.038E-05
239.181,2.0403E-05
242.165,2.0351E-05
245.183,2.0359E-05
248.184,2.0409E-05
251.182,2.0366E-05
254.199,2.0343E-05
257.181,2.0393E-05
260.183,2.0382E-05
263.178,2.0334E-05
266.186,2.037E-05
269.188,2.0392E-05
272.179,2.0341E-05
275.181,2.0346E-05
278.157,2.0391E-05
281.155,2.0356E-05
284.159,2.0329E-05
287.158,2.0378E-05
290.160,2.0374E-05
293.184,2.0324E-05
296.161,2.0362E-05
299.128,2.039E-05
302.469,2.0339E-05
305.538,2.0353E-05
308.845,2.0401E-05
311.813,2.0346E-05
314.811,2.0348E-05
317.813,2.0397E-05
320.821,2.037E-05
324.152,2.0339E-05
327.155,2.0392E-05
330.160,2.0385E-05
333.152,2.0337E-05
336.149,2.0378E-05
339.161,2.0401E-05
342.173,2.0348E-05
345.470,2.0364E-05
348.488,2.0404E-05
351.487,2.0359E-05
354.496,2.0351E-05
357.492,2.0403E-05
360.636,2.0385E-05
363.809,2.0337E-05
366.817,2.0391E-05
369.814,2.0396E-05
372.808,2.0341E-05
375.825,2.037E-05
378.839,2.0402E-05
381.810,2.0351E-05
384.810,2.0355E-05
387.811,2.0402E-05
390.813,2.0371E-05
393.822,2.0337E-05
396.859,2.0383E-05
399.814,2.0386E-05
402.815,2.0333E-05
405.811,2.0362E-05
408.818,2.0394E-05
411.817,2.0344E-05
