Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:31:42
Elapsed Time,00:03:04:999
Samples,61381

--Statistics--
Minimum [W],1.9326E-05
Maximum [W],0.00052581
Mean [W],0.00016518
Standard Deviation [W],0.00015673
Ratio,27.207 : 1

--Graph Data--
Time (ms),Power (W)
760.761,2.037E-05
763.789,2.0391E-05
766.801,2.0433E-05
769.782,2.0392E-05
772.780,2.0376E-05
775.778,2.0429E-05
778.763,2.0414E-05
781.782,2.0374E-05
784.779,2.0415E-05
787.779,2.0436E-05
790.779,2.0378E-05
793.781,2.0396E-05
796.781,2.0439E-05
799.799,2.0393E-05
802.827,2.0382E-05
806.083,2.0434E-05
809.102,2.0413E-05
812.078,2.0376E-05
815.106,2.0429E-05
818.076,2.0434E-05
821.106,2.0382E-05
824.096,2.0408E-05
827.099,2.0445E-05
830.102,2.0399E-05
833.085,2.0394E-05
836.097,2.0444E-05
839.104,2.0418E-05
842.101,2.0387E-05
845.101,2.0434E-05
848.100,2.0445E-05
851.133,2.039E-05
854.102,2.0417E-05
857.110,2.045E-05
860.099,2.0402E-05
863.106,2.0396E-05
866.082,2.0451E-05
869.100,2.0424E-05
872.082,2.0387E-05
875.107,2.0431E-05
878.108,2.0433E-05
881.102,2.038E-05
884.102,2.0403E-05
887.103,2.0439E-05
890.442,2.0383E-05
893.416,2.0387E-05
896.451,2.0436E-05
899.424,2.0396E-05
902.442,2.0367E-05
905.440,2.042E-05
908.440,2.0413E-05
911.447,2.0361E-05
914.453,2.0399E-05
917.449,2.0423E-05
920.491,2.0375E-05
923.762,2.0385E-05
926.756,2.0426E-05
929.761,2.0386E-05
932.762,2.0369E-05
935.769,2.0419E-05
938.755,2.0406E-05
941.747,2.0364E-05
944.753,2.0412E-05
947.754,2.0425E-05
950.752,2.0376E-05
953.752,2.0391E-05
956.766,2.0435E-05
960.077,2.0385E-05
963.426,2.0383E-05
966.396,2.0433E-05
969.427,2.0402E-05
972.449,2.0372E-05
975.427,2.0424E-05
978.422,2.042E-05
981.740,2.037E-05
984.767,2.0415E-05
987.751,2.043E-05
990.756,2.0378E-05
993.793,2.0398E-05
996.740,2.0438E-05
999.766,2.0396E-05
1002.758,2.0378E-05
1005.771,2.0431E-05
1008.758,2.0413E-05
1011.803,2.0371E-05
1014.756,2.0412E-05
1017.760,2.043E-05
1020.755,2.0375E-05
1023.691,2.0396E-05
1026.744,2.0438E-05
1029.715,2.0396E-05
1032.709,2.038E-05
1035.760,2.0436E-05
1038.733,2.0418E-05
1041.760,2.0376E-05
1044.760,2.0422E-05
1047.748,2.0434E-05
1050.730,2.0385E-05
1053.755,2.0398E-05
1056.759,2.0439E-05
1059.731,2.0396E-05
1062.765,2.0375E-05
1065.759,2.0433E-05
1068.730,2.0413E-05
1071.722,2.037E-05
1075.053,2.0423E-05
1078.071,2.0424E-05
1081.074,2.0372E-05
1084.073,2.0401E-05
1087.077,2.044E-05
1090.082,2.0388E-05
1093.127,2.0385E-05
1096.084,2.0435E-05
1099.072,2.0406E-05
1102.075,2.0372E-05
1105.073,2.0423E-05
1108.070,2.0423E-05
1111.051,2.0378E-05
1114.075,2.0401E-05
1117.050,2.0435E-05
1120.074,2.0383E-05
1123.047,2.0377E-05
1126.090,2.0431E-05
1129.093,2.0406E-05
1132.075,2.0364E-05
1135.055,2.0419E-05
1138.051,2.0425E-05
1141.071,2.0371E-05
1144.046,2.0398E-05
1147.049,2.0438E-05
1150.073,2.0391E-05
1153.049,2.0382E-05
1156.071,2.0435E-05
1159.050,2.0408E-05
1162.054,2.0371E-05
1165.086,2.0422E-05
1168.711,2.0423E-05
1171.726,2.0377E-05
1174.705,2.0419E-05
1177.815,2.0435E-05
1181.077,2.0378E-05
1184.058,2.0406E-05
1187.032,2.0441E-05
1190.088,2.0391E-05
1193.109,2.039E-05
1196.018,2.0436E-05
1199.013,2.0407E-05
1202.054,2.0372E-05
1205.024,2.0422E-05
1208.738,2.0414E-05
1211.737,2.0362E-05
1214.745,2.0409E-05
1217.738,2.0425E-05
1221.063,2.0365E-05
1224.062,2.0391E-05
1227.065,2.0428E-05
1230.070,2.0375E-05
1233.069,2.0369E-05
1236.057,2.0418E-05
1239.061,2.0392E-05
1242.053,2.0358E-05
1245.058,2.0404E-05
1248.054,2.0408E-05
1251.088,2.0361E-05
1254.053,2.0386E-05
1257.051,2.0422E-05
1260.052,2.0372E-05
1263.041,2.037E-05
1266.375,2.0423E-05
1269.369,2.0391E-05
1272.373,2.0362E-05
1275.398,2.0414E-05
1278.396,2.0408E-05
1281.712,2.0361E-05
1284.708,2.0402E-05
1287.717,2.0422E-05
1291.025,2.0362E-05
1294.390,2.0401E-05
1297.377,2.0428E-05
1300.343,2.037E-05
1303.370,2.0381E-05
1306.362,2.043E-05
1309.365,2.0393E-05
1312.323,2.0369E-05
1315.343,2.0422E-05
1318.342,2.041E-05
1321.355,2.0367E-05
1324.364,2.0399E-05
1327.714,2.0425E-05
1330.713,2.0369E-05
1333.704,2.0387E-05
1336.702,2.0428E-05
1339.701,2.0385E-05
1342.688,2.0369E-05
1345.723,2.0428E-05
1348.704,2.0408E-05
1351.706,2.0364E-05
1354.702,2.0409E-05
1357.702,2.0426E-05
1360.702,2.0367E-05
1363.703,2.039E-05
1366.704,2.0433E-05
1369.698,2.0387E-05
1372.729,2.0371E-05
1375.713,2.0428E-05
1378.664,2.041E-05
1381.676,2.0366E-05
1384.710,2.0412E-05
1387.701,2.0425E-05
1390.750,2.0372E-05
1393.701,2.039E-05
1396.700,2.0433E-05
1401.714,2.0365E-05
1404.701,2.0412E-05
1407.678,2.0425E-05
1410.699,2.0375E-05
1413.673,2.0391E-05
1416.672,2.0433E-05
1419.668,2.0391E-05
1422.677,2.0376E-05
1425.670,2.0431E-05
1428.685,2.041E-05
1431.674,2.037E-05
1434.723,2.0412E-05
1438.015,2.0422E-05
