Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:38:35
Elapsed Time,00:03:04:998
Samples,61321

--Statistics--
Minimum [W],1.9705E-05
Maximum [W],4.6015E-05
Mean [W],2.9684E-05
Standard Deviation [W],7.3226E-06
Ratio,2.335 : 1

--Graph Data--
Time (ms),Power (W)
5.283,2.1675E-05
8.265,2.9347E-05
11.242,3.5852E-05
14.267,4.0936E-05
17.242,4.5006E-05
20.270,4.0607E-05
23.263,3.6292E-05
26.257,3.2969E-05
29.232,3.0361E-05
32.258,2.8378E-05
35.241,2.678E-05
39.014,2.5193E-05
41.953,2.4241E-05
44.952,2.3465E-05
47.928,2.2775E-05
50.953,2.2262E-05
53.945,2.1881E-05
56.945,2.1769E-05
59.919,2.9968E-05
62.947,3.6328E-05
65.979,4.1315E-05
69.264,4.5309E-05
72.234,3.9681E-05
75.262,3.5575E-05
78.256,3.239E-05
81.254,2.9949E-05
84.257,2.8049E-05
87.260,2.6474E-05
90.255,2.523E-05
93.254,2.4279E-05
96.257,2.3465E-05
99.259,2.2787E-05
102.257,2.23E-05
105.263,2.1884E-05
108.298,2.1716E-05
111.570,3.0613E-05
114.593,3.6827E-05
117.595,4.171E-05
120.567,4.5463E-05
123.594,3.9792E-05
126.572,3.5624E-05
129.599,3.2435E-05
132.574,3.0011E-05
135.551,2.8076E-05
138.574,2.6489E-05
141.601,2.5276E-05
144.564,2.4307E-05
147.569,2.3468E-05
150.597,2.2817E-05
153.569,2.2336E-05
156.631,2.1886E-05
159.598,2.1691E-05
162.568,2.9649E-05
165.571,3.6085E-05
168.584,4.1124E-05
171.917,4.5556E-05
174.894,3.9918E-05
178.266,3.5307E-05
181.249,3.2238E-05
184.255,2.9861E-05
187.257,2.7928E-05
190.226,2.6404E-05
193.224,2.5233E-05
196.233,2.4243E-05
199.232,2.3423E-05
202.233,2.282E-05
205.240,2.2314E-05
208.231,2.1852E-05
211.302,2.1985E-05
214.577,3.1128E-05
217.573,3.7224E-05
220.598,4.2032E-05
223.578,4.4974E-05
226.572,3.9414E-05
229.575,3.5335E-05
232.575,3.2275E-05
235.592,2.9866E-05
238.576,2.7916E-05
241.580,2.6423E-05
244.580,2.523E-05
247.585,2.4217E-05
250.582,2.3424E-05
253.565,2.2825E-05
256.563,2.2284E-05
259.605,2.184E-05
262.571,2.1875E-05
265.915,3.0958E-05
268.925,3.7093E-05
271.868,4.1927E-05
274.868,4.519E-05
277.868,3.9538E-05
280.923,3.5463E-05
283.930,3.2385E-05
286.925,2.9919E-05
289.921,2.7982E-05
292.912,2.65E-05
295.963,2.5268E-05
298.945,2.4253E-05
301.879,2.3494E-05
305.226,2.2799E-05
308.201,2.2254E-05
311.211,2.1856E-05
314.357,2.259E-05
317.611,3.1625E-05
320.554,3.7614E-05
323.554,4.2344E-05
326.543,4.4571E-05
329.578,3.9131E-05
332.549,3.5194E-05
335.546,3.2158E-05
338.545,2.9733E-05
341.542,2.7881E-05
344.542,2.641E-05
347.545,2.5172E-05
350.968,2.4121E-05
354.209,2.3324E-05
357.230,2.2687E-05
360.201,2.2191E-05
363.231,2.1845E-05
366.500,2.5484E-05
369.499,3.2942E-05
372.502,3.8644E-05
375.558,4.317E-05
378.555,4.3316E-05
381.552,3.8292E-05
384.537,3.4554E-05
387.544,3.1615E-05
390.913,2.9132E-05
393.911,2.7421E-05
396.920,2.5996E-05
399.916,2.4857E-05
402.915,2.3998E-05
405.922,2.3269E-05
408.907,2.2638E-05
411.911,2.2196E-05
